OBJECT,z,rho_impact,rho_rvir,mstars,gal_type
J0226+0015,0.7143699,1028.2350891680876,2.2474310480450033,11.062335082296551,SF+E
J0226+0015,0.7149162,763.3620005744524,4.107643210196677,10.408243138917207,E
J0226+0015,0.7159334,837.9387983992831,4.266018526641113,10.494797572006224,SF+E
J0226+0015,0.7231558,940.1723424163962,6.986606985102857,9.755117122041092,SF
J0226+0015,0.7255299,713.5870202443227,4.183208583177698,10.265850287926161,SF
J0226+0015,0.7348415,758.3733023273356,2.3701846254834975,10.924560464509918,SF
J0226+0015,0.73928,480.0285358390012,3.055980662318899,10.114674710274159,
J0226+0015,0.7478511,603.2672493616775,0.39822477446577986,11.466188206884095,
J0226+0015,0.75092,700.0747000833652,3.3037161270507798,10.616845110214582,SF+E
J0226+0015,0.75686,325.73725083116483,2.8509826787281005,9.392287001772793,
J0226+0015,0.7677505,500.4280855677486,1.3474331465345213,10.997885105067501,
J0226+0015,0.77367,203.52966769838864,1.4438189466551663,9.911929215918557,
J0226+0015,0.7770214,363.3990748861207,2.678712186696697,9.82773131995172,SF
J0226+0015,0.7802101,1186.948069600758,7.607457506813706,10.136215683977662,
J0226+0015,0.7808608,915.268129652455,3.941676008094633,10.728957332121052,SF+E
J0226+0015,0.79154,650.9707314709655,4.993433147993397,9.749252291666854,SF+E
J0226+0015,0.797212,1190.1664571063077,6.7656418287264435,10.375436271405686,SF
J0226+0015,0.7973433,1360.106572838823,7.455642485853934,10.435728171024781,SF+E
J0226+0015,0.7979775,1193.553236198274,7.363476762362152,10.226787317931057,SF
J0226+0015,0.7982967,1080.1862073772043,4.054285461668556,10.843524335050414,SF+E
J0226+0015,0.80033,1442.6226193906452,12.77722855458445,9.410004069608116,SF
J0226+0015,0.8017524,1153.2371472450168,7.827968255553728,10.034732727081927,SF+E
J0226+0015,0.8031539,252.93667137201123,0.692084523504165,11.000459220430077,E
J0226+0015,0.8035541,511.65086717955853,2.561178512891588,10.5723453252455,
J0226+0015,0.81681,539.0515288194823,1.7823791431028255,10.921577865627672,E
J0226+0015,0.8196805,821.4798126396807,5.325382597676187,10.146345199255467,SF
J0226+0015,0.82037,511.5038414013941,3.045897812734742,10.310580041839463,SF
J0226+0015,0.8336179,1506.5603977688324,10.433803960436233,10.019791597708085,
J0226+0015,0.8465998,252.71291002558416,1.9322950492373248,9.810288663262781,SF
J0226+0015,0.8467014,1519.3685215035584,12.436862466269062,9.65020869763115,SF
J0226+0015,0.8479258,1484.142428887935,10.321112674154797,10.023507365817881,SF+E
J0226+0015,0.84863,501.01024166581516,3.160490015273685,10.224048469949253,SF+E
J0226+0015,0.85236,1435.2321939926655,11.587006231160206,9.688683577304175,
J0226+0015,0.8770575,1211.1342268451374,3.768850972391156,10.966294915858548,
J0226+0015,0.89323,1109.0336703260598,7.379095615493672,10.154127460264933,
J0226+0015,0.9037784,692.7617235265333,3.997944784803682,10.423822378482939,SF+E
J0226+0015,0.9042201,1197.6159748353377,8.308288600787046,10.0770594448115,SF
J0226+0015,0.9043635,1371.1079164873956,2.373618445438497,11.175642220551868,SF
J0226+0015,0.9185243,1229.0940436449657,6.678201109958131,10.526263120128398,
