specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment ,QSO
J1555+3628_nbin3_norm.fits,883.125,0.6029399999999999,12.155,1.27,17.029,87.64399999999998,-17.121,54.277,130,130,130,-59.3321,59.3321,1415.4230295480554,1415.7725891144446,9323,9333,0.60285,ClV,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1142.3656,-0.00022,14.248,76.069,38.931,911.4860000000001,-5.433,3017.255,7,7,7,-141.3696,141.3696,1141.5727089096229,1142.650092703753,207,243,-0.00023999999999999998,FeII,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1143.226,-0.00022,14.248,0.0,38.931,0.0,-5.433,0.0,7,7,7,-141.3696,141.3696,1142.4325117247165,1143.5107069762435,236,272,-0.00023999999999999998,FeII,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1144.9379,-0.00022,14.248,0.0,38.931,0.0,-5.433,0.0,7,7,7,-141.3696,141.3696,1144.1432235321993,1145.2230333047846,287,323,-0.00023999999999999998,FeII,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1260.5330000000001,-0.00022,14.248,0.0,38.931,0.0,-5.433,0.0,7,7,7,-141.3696,141.3696,1259.658091490127,1260.8469209035527,4152,4192,-0.00023999999999999998,FeII,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1608.4511,-0.00022,14.248,0.0,38.931,0.0,-5.433,0.0,7,7,7,-141.3696,141.3696,1607.3347091120945,1608.8516658103617,14548,14589,-0.00023999999999999998,FeII,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1611.2005,-0.00022,14.248,0.0,38.931,0.0,-5.433,0.0,7,7,7,-141.3696,141.3696,1610.0822008134164,1611.601750516063,14618,14656,-0.00023999999999999998,FeII,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1122.524,0.18921,14.606,0.127,58.637,20.067999999999998,-17.063,15.137,55,55,55,-72.2773,72.2773,1334.6479202827766,1335.1891814235435,6650,6668,0.18914,FeIII,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,844.288,0.57612,13.175,0.389,15.232000000000001,28.459,-13.025,16.08,119,119,119,-73.35600000000002,73.35600000000002,1330.4902081183313,1330.9033845600686,6511,6525,0.57605,FeIII,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,859.7230000000003,0.57612,13.175,0.0,15.232000000000001,0.0,-13.025,0.0,119,119,119,-73.35600000000002,73.35600000000002,1354.8137995495806,1355.2345295493194,7325,7339,0.57605,FeIII,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1122.524,0.57612,13.175,0.0,15.232000000000001,0.0,-13.025,0.0,119,119,119,-73.35600000000002,73.35600000000002,1768.9546580998685,1769.503997273331,18941,18956,0.57605,FeIII,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.0027,11.634,5.1960000000000015,9.541,411.50300000000004,-4.019,183.933,14,14,14,-43.1506,43.1506,1218.7739399305292,1219.1238946308708,2784,2796,0.00268,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.00877,13.179,0.677,24.824,34.778,-10.703,33.665,15,15,15,-48.2876,48.2876,1226.1365660389556,1226.5281822062445,3031,3044,0.00873,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.0228,13.216,0.131,30.396,14.196,-5.093,9.166,16,16,16,-56.5068,56.5068,1243.1608983136978,1243.619172828102,3600,3616,0.02278,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.03085,13.277999999999999,0.139,12.057,7.598,5.492000000000001,4.1960000000000015,17,17,17,-43.1506,43.1506,1253.0024295474293,1253.352384247771,3930,3941,0.030869999999999998,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.035089999999999996,12.863,0.218,11.744000000000002,15.585999999999999,-11.505,8.207,18,18,18,-60.1026,60.1026,1258.0884454066706,1258.5758821369295,4100,4116,0.03505,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.03728,12.669,0.308,9.176,22.304000000000002,-6.956,10.366,19,19,19,-38.0136,38.0136,1260.835763535903,1261.144056769297,4192,4202,0.03726,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.03884,12.684000000000001,0.34,7.905,24.039,-9.547,10.536,20,20,20,-32.363,32.363,1262.75575428562,1263.01822071638,4256,4265,0.038810000000000004,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.03915,12.775,0.264,7.947,18.453,-5.829,8.123,21,21,21,-35.9588,35.9588,1263.1185536157925,1263.4101822624075,4268,4278,0.03913,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.05849,12.902000000000001,0.266,9.655,17.415,-8.936,8.804,22,22,22,-47.2602,47.2602,1286.5816442229504,1286.9649280968495,5053,5066,0.05846000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.06665,12.208,1.395,10.257,99.647,-11.794,49.662,23,23,23,-43.6643,43.6643,1296.515290594182,1296.869411441218,5382,5394,0.06661,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.06929,9.512,,9.415,,-4.876,,24,24,24,-30.0,25.0,1299.782463528517,1300.0054906535024,5484,5492,0.06927,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.1125,12.548,0.344,9.558,24.162,-8.281,11.636,25,25,25,-44.178000000000004,44.178000000000004,1140.9668978110865,1141.2692026499333,187,197,0.11247,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.1125,12.548,0.0,9.558,0.0,-8.281,0.0,25,25,25,-44.178000000000004,44.178000000000004,1352.256223626635,1352.6145106203655,7239,7251,0.11247,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.11356,13.242,0.113,34.044000000000004,12.802,0.912,8.48,26,26,26,-67.2944,67.2944,1141.9723127521984,1142.4328003873857,221,236,0.11356,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.11356,13.242,0.0,34.044000000000004,0.0,0.912,0.0,26,26,26,-67.2944,67.2944,1353.4478257792073,1353.993588563193,7279,7297,0.11356,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.11579,12.797,0.22899999999999998,12.112,15.035,-6.694,8.5,27,27,27,-61.6437,61.6437,1356.1809664407285,1356.6809016110715,7370,7387,0.11575999999999999,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.11650999999999999,13.179,0.145,41.928000000000004,19.397000000000002,-10.042,12.85,28,28,28,-59.0752,59.0752,1145.0282431076014,1145.4324877274541,317,330,0.11647,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.11650999999999999,13.179,0.0,41.928000000000004,0.0,-10.042,0.0,28,28,28,-59.0752,59.0752,1357.069666912365,1357.5487713492348,7400,7416,0.11647,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.11794,12.972999999999999,0.205,8.35,10.913,-9.314,5.13,29,29,29,-32.8767,32.8767,1146.587647326605,1146.8126187036548,369,376,0.11790999999999999,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.11794,12.972999999999999,0.0,8.35,0.0,-9.314,0.0,29,29,29,-32.8767,32.8767,1358.9178485417729,1359.1844811192273,7462,7471,0.11790999999999999,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.1204,13.039000000000001,0.16,13.974,10.469000000000001,2.455,6.117999999999999,30,30,30,-32.363,32.363,1149.108568386812,1149.330024575404,453,461,0.12040999999999999,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.1204,13.039000000000001,0.0,13.974,0.0,2.455,0.0,30,30,30,-32.363,32.363,1361.90560497842,1362.1680714091801,7562,7571,0.12040999999999999,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.12063,12.953,0.221,7.994,11.835999999999999,3.428,5.631,31,31,31,-31.8493,31.8493,1149.3459138559374,1149.5638548560705,461,468,0.12064000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.12063,12.953,0.0,7.994,0.0,3.428,0.0,31,31,31,-31.8493,31.8493,1362.1869031373676,1362.4452034214326,7571,7580,0.12064000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.12090999999999999,13.284,0.111,16.435,7.4220000000000015,-13.049000000000001,4.58,32,32,32,-58.5615,58.5615,1149.543352754605,1149.944082185999,468,481,0.12086,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.12090999999999999,13.284,0.0,16.435,0.0,-13.049000000000001,0.0,32,32,32,-58.5615,58.5615,1362.4209046496123,1362.8958429397874,7579,7595,0.12086,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.12155,12.73,0.27,10.435,17.692,-16.445,9.129,33,33,33,-49.8287,49.8287,1363.2278414565135,1363.6319560638865,7606,7620,0.12147999999999999,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.13078,13.029000000000002,0.17300000000000001,12.360999999999999,10.908,-6.477,5.9270000000000005,34,34,34,-34.4177,34.4177,1159.7490271346949,1159.9845433928324,809,817,0.13076,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.13078,13.029000000000002,0.0,12.360999999999999,0.0,-6.477,0.0,34,34,34,-34.4177,34.4177,1374.5165112121344,1374.7956414186654,7984,7993,0.13076,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.13122999999999999,12.894,0.218,9.265,13.216,-10.158999999999999,6.718,35,35,35,-58.5615,58.5615,1374.961160691313,1375.4360989814875,7999,8014,0.13119,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.14157999999999998,12.981,0.213,8.95,11.704,-4.553999999999999,5.763999999999999,36,36,36,-40.0684,40.0684,1170.8097191753482,1171.0839025065275,1179,1189,0.14157,H I,b,-- ,J1555+3628
